No,Nama Resep,Kategori,Deskripsi,Bahan-bahan,Jumlah Bahan,Langkah Memasak,Jumlah Langkah,Waktu Memasak,Jumlah Porsi,Penulis,Lokasi Penulis,URL
381,Sayur Bayam Bakso,bakso,"Kala sakit apalagi demam radang tenggerokan. Sering dibuatkan ini oleh nini. Rasa seger dan bumbu sederhana membuat nyaman dimakan bagi orang sakit. Resep ini juga dibagikan ke tetangga manula. Mereka suka banget, katanya simple dan cocok untuk mereka. Cocok juga buat...",Bahan: | 1 ikat bayam | 1 buah jagung disisir | 5 buah bakso dipotong-potong | 1 buah tomat potong-potong | Bumbu dihaluskan: | 4 buah Bawang putih | Bahan lainnya: | 1 sendok makan margarine untuk menumis | Secukupnya air | Sesuai selera merica bubuk | Sesuai selera garam | Sesuai selera gula pasir | Sesuai selera kaldu bubuk | Daun aromatik: | 1 ikat kemangi,16,"Siapkan bahan dan bersihkan. Haluskan bawang putih. || Panaskan margarine dan tumis bawang putih hingga harum. Masukkan bakso masak sebentar. || Masukkan jagung aduk rata. Tambahkan air dan masak hingga mendidih. || Masukkan bayam aduk sebentar. Tambahkan bumbu bubuk aduk hingga bayam empuk. || Tambahkan tomat menjelang akan mengangkatnya. Matikan kompor, masukkan kemangi aduk rata. || Ambil wadah saji, sajikan. Salam koki dapur rumahan.",6,15 menit,,asti,singaraja bali,https://cookpad.com/id/resep/25721003
382,Sop Tahu Sawi Bakso Sat Set,bakso,"Bismillah Cocok dikala hujan dan panas, disantap yang muda maupun tua, menu hemat penambah serat 😉 #CookpadApron2026 #MasakSayurYuk #CookpadCommunity_Batam","1 buah Tahu ukuran besar, potong dadu kecil | 1 ikat Sawi , potong"" | 3 buah Bakso jumbo, iris | 1 batang Daun bawang , iris | 4 buah Bawang putih , rajang | 1 siung Bawang bombai, iris | Secukupnya Air | Secukupnya Garam | Secukupnya Kaldu bubuk | Secukupnya Lada bubuk",10,"Tumis duo bawang hingga harum, masukkan irisan daun bawang, tumis sebentar || Masukkan air lalu didihkan. Masukkan sawi, tahu dan bakso, masak hingga sawi agak lunak. || Bumbui dengan garam, lada dan kaldu bubuk. Koreksi rasa angkat. 😉",3,15 menit,,SMarisa,Batam Center,https://cookpad.com/id/resep/25718918
383,Mie Jamur Bakso,bakso,"Ditulis dengan kondisi hidung mampet, tenggorokan panas, mata pedih, mengantuk, badan meriang huaaaaaah Tapi percayalah ini enak!! #CookpadCommunity_Yogyakarta #SelaluIstimewa #Kopijos #Kopijos_MenuAlaResto #MenuAlaResto #CookpadApron2026 #Kopijos_April2026",4 siung bawang putih | 4 buah bakso | 5 buah jamur | 3 buah cabai | 1 porsi mie basah | 200 ml air | 1 butir telur | 1 sdm kecap asin | 1 sdm kecap manis | 1 sdm saus tiram | 1 sdm kecap ikan | 1 sdm gula pasir,12,"Potong bakso, jamur, cabai. || Kupas, cuci, geprek, dan tumis bawang putih dengan sedikit minyak. || Tambahkan bakso, jamur, dan cabai ke tumisan bawang. || Masukkan mie basah dan tuangkan air sedikit demi sedikit. Masukkan kecap asin, kecap manis, saus tiram, kecap ikan, gula pasir. Koreksi rasa. Masak hingga mie lunak dan matang. || Tambahkan telur yang telah dikocok lepas. Masak sebentar hingga semua matang || Siap dihidangkan yeay!",6,30 menit,1 porsi,Ahmi Yofaniar Pratiwi,🏡Ngawi🏫Yogyakarta,https://cookpad.com/id/resep/25723734
384,Kwetiau Goreng Ayam Bakso Ala Solaria,bakso,Ibu mertua demen banget makan kwetiau ini makanya cobain buat bikin sendiri biar makin disayang sama mertua 🤭 #CookpadCommunity_Yogyakarta #SelaluIstimewa #Kopijos #Kopijos_MenuAlaResto #MenuAlaResto #CookpadApron2026 #Kopijos_April2026,"1/2 bungkus kwetiau kering merk apa saja boleh | secukupnya ayam rebus, potong sembarang | 5 buah bakso , potong jadi 6 | 2 batang daun bawang | 3 lembar sawi pokchoi | 2 buah cabai rawit | 1 buah bawang putih | 1/4 buah bawang bombay | Saus Bumbu | 3 sdm saus tiram | 3 sdm kecap manis | 2 sdm minyak wijen | 1 sdm kecap asin | 1 sdm kecap ikan | secukupnya lada | secukupnya garam | Pelengkap | secukupnya acar timun | secukupnya bawang merah goreng",19,"Rebus mie kwetiau hingga lunak (+/- 8 menit) || Tiriskan dan campurkan dengan saus bumbu || Tumis bawang putih dan bawang bombay hingga harum, masukkan ayam dan bakso yang sudah dipotong. || Masukkan kwetiau, cabai dan sayuran. Beri sedikit air dan aduk hingga matang. Koreksi rasa lalu sajikan 💕",4,1 jam,,Mina Ridhayani,"Bantul, Yogyakarta",https://cookpad.com/id/resep/25723514
385,Seblak Bakso Kerupuk,bakso,"Siapa yang ngga suka seblak nih. Sekarang apa² seblak, apa² seblak 😆 #CookpadApron2026 #MenuAlaResto #TimloSolo_MenuAlaResto #WongSoloMasak #CookpadCommunity_Solo #CocosoyaHore",100 g Kerupuk udang | 100 g Makaroni | 6 butir 1 Bakso sapi | 1 butir telur | 750 ml Air | 3 siung Bawang putih | 3 butir bawang merah | 3 buah Cabai keriting | 2 butir kemiri | Sejempol kencur | secukupnya Sayur sawi | secukupnya Garam | secukupnya penyedap | secukupnya gula | 1 sdm Minyak goreng,15,"Haluskan bawang putih, bawang merah, kemiri, dan cabai rawit. Potong dan cuci bersih sayuran. || Tumis bumbu halus dengan minyak hingga harum. Kemudian tambahkan air. || Didihkan air, rebus kerupuk dan makaroni. Tiriskan. || Masukkan kerupuk udang dan makaroni, dan bakso. Setelah mendidih, masukkan telur, kocok cepat || Tambahkan garam, penyedap dan gula. Masak sebentar. || Masukkan sayuran, masak sebentar. || Sajikan hangat.",7,30 menit,2 porsi,Denisa Nitta,,https://cookpad.com/id/resep/25581187
386,Bakso Sayur Homemade Sebagai Alternatif Meningkatkan Asupan Sayur Dan Berat Badan Anak,bakso,"Anak yang sulit makan sayur (picky eater) berisiko kekurangan asupan serat dan mikronutrien, sehingga dapat memengaruhi pertumbuhan dan status gizi anak",1/2 ekor ayam bagian dada | 3 buah wortel | 2 siung bawang putih | 3 siung bawang merah | 1 batang daun bawang | 6 buah udang (opsional) | 1 buah putih telur,7,"Potong dadu ayam dan udang lalu chopper || Tumis 2 siung bawang putih, 3 siung bawang merah, 1 batang daun bawang, haluskan || Pindahkan ayam dan udang yang telah di chopper kedalam wadah || Masukan bawang bawang an yang telah di haluskan ke dalam adonan ayam dan udang tadi || Aduk rata, dan masukan 1 buah putih telur || Masukan wortel yang telah di potong kecil atau serut || Didihkan air panas, dan bulat bulat adonan || Setelah mengambang, masukan ke dalam air es. dan bakso siap di olah kembali menjadi isian sayur bening, atau di tumis sesuai dengan kesukaan anak..",8,,,firdha mudzha,,https://cookpad.com/id/resep/25708921
387,Bakso Goreng Crispy,bakso,Bikin cemilan buat anak2 yg ala resto ak bikin bakso goreng krispy Yuk bikin Bikin nya gampang tapi enak vngt kadang g sadar udah lebih dari 2 tusuk mkn masih kurang #CookPadCommuniry_bogor #MenuAlaResto #CookpadApron2026 #ComboNgalimed_MenuAlaResto,25 butir bakso siap goreng | 250 g tepung panir | 250 g tepung terigu | 15 biji tusuk sate | Bumbu adonan cair | 1 sdt garam | 1sdt kaldu bubuk | 1 sdt lada bubuk | 150 ml air | 2 sdm tepung maizena,10,"Potong2 bakso dan tusuk siapkan adonan cairnya,siapkan juga tepung panir, || Celup kan sate yg sudah siap lalu gulingkan di tepung panir sisihkan || Goreng dengan api sedang sampe selesai sajikan",3,20 menit,,"Yuni Kurniasih,",Gunung Putri Bogor,https://cookpad.com/id/resep/25700840
388,Buncis Wortel Bakso,bakso,Menu sat set <30menit,setengah biji Wortel dipotong korek api | 2 Cabai merah keriting dipotong miring | 1/2 sdt garam | 1/2 sdt kaldu jamur | 1/4 sdt lada bubuk (jangan kebanyakan) | 1 sdt saus tiram | 5 siung bawang merah | 3 siung bawang putih | 6 Buncis dipotong miring,9,"Tumis bawang merah, bawang putih, cabai keriting dengan sedikit minyak || Begitu harum masukkan wortel tumis sebentar lalu masukkan air sedikit saja lalu masukkan garam, lada, kaldu jamur, saus tiram || Masukkan buncis dan bakso || Koreksi rasa, bisa tambahkan air lagi jika wortel masih kurang empuk. || Sajikan",5,30menit,,marble43,"Tangerang,Indonesia",https://cookpad.com/id/resep/25700815
389,Bakso,bakso,Lagi dingin atau lagi pengen yang hangat? Jawabannya: bakso! 😍 #baksofavorit #resepmasak #homemadefood #masakanpraktis #cookpad #indonesianfood #baksolezat #makananenak #inspirasimasak#CookpadApron2026 #MasakAlaResto,2 bungkus bakso isi 50 | 250 gr sandung lamur (dipotong dadu) | 3 buah potongan Iga gondrong | 3 helai daun seledri | 4 batang daun bawang | Bumbu halus untuk kuah bakso | 5 siung bawang merah | 3 siung bawang putih | 3 buah kemiri | 2 batang daun bawang,10,"Pertama tama untuk membuat kuah baksonya rebus sandung lamur dan iga hingga empuk dan kaldu keluar (saya merebus ±1jam) || Sambil menunggu, kita membuat bumbu terlebih dahulu dengan menghaluskan bumbu seperti bawang merah, bawang putih, kemiri, dan 2 daun bawang || Setelah di haluskan, tumis bumbu hingga tanak || Kemudian masukan bumbu ke kuah kaldu yg sudah mendidih || Masukan seledri dan 2 batang daun bawang yang sudah dipotong"" || Tambahkan garam, penyedap rasa dan lada secukupnya || Setelah itu masukan bakso, dan masak hingga bakso mengapung || Jangan lupa untuk koreksi rasa yaa || Terimakasih, selamat mencoba 🥰",9,1 jam,,Chuncun,Yogyakarta,https://cookpad.com/id/resep/25700474
390,Cap Cay Bakso Ala Resto,bakso,"Simple tapi rasanya mewah. Berhubung kemarin-kemarin makan yang kurang sehat mulu, kali ini mau masak yang banyak sayurannya. Nah Cap cay ini pas banget. Cukup pake bahan yang ada aja, tapi rasanya udah enak banget. Jadi cus tinggal masak. Sumber resep dari YT: CR...","5 buah bakso kecil, potong | 2 buah wortel , potong serong | 1 bonggol brokoli , potong per kuntum | 1 batang daun bawang , iris panjang | 5 lembar sawi hijau | 3 lembar sawi putih | 4 lembar kol | 3 siung bawang putih , cincang | 1/2 buah bawang bombay , potong | 1 sdt tepung tapioka , larutkan dengan sedikit air | Bahan bumbu kuah: | 1/2 sdt gula pasir | 1/4 sdt garam | 1 sdt kaldu jamur | 1/2 sdt lada bubuk | 1 sdm kecap asin | 1/2 sdm kecap ikan | 1/2 sdm minyak wijen | 1 sdm saus tiram | 350 ml air",20,"Potong-potong brokoli, beri garam himalaya sekitar 1 sdt lalu beri air (airnya kira-kira aja sampai brokolinya terendam semua). Rendam selama 5 menit. Lalu rebus di air mendidih sekitar 2 menit. Angkat, tiriskan || Siapkan mangkuk, campurkan bahan bumbu kuah: gula pasir, garam, kaldu jamur, lada bubuk, kecap asin, kecap ikan, minyak wijen, saus tiram dan air. Aduk hingga tercampur rata. || Tuang minyak goreng ke wajan, panaskan lalu goreng bakso sampai matang, angkat dan tiriskan || Gunakan minyak yang sama, tumis bawang putih dan bawang bombay sampai wangi || Masukkan sayuran yang teksturnya keras: wortel, kol dan batang sawi hijau. Tambahkan juga daun bawang. Oseng-oseng sebentar sampai tercampur rata || Masukkan bumbu kuah, masak sampai sayuran 1/2 matang. Masukkan telur yang sudah dikocok. Masak sampai matang || Masukkan bakso, brokoli dan sawi hijau dan sawi putih. Aduk rata || Masukkan larutan tepung tapioka jika ingin kuahnya kental. Aduk rata || Makan pake nasi sedep banget",9,1 jam,4 porsi,Deta L,,https://cookpad.com/id/resep/25695642
391,Tumis Kembang Kol Bakso,bakso,"Dapat menu varian baru nih untuk masak bakso. Ditumis aja dengan kembang kol, pakai bumbu yang ngeresep, jadi syedeeep. Source: @Gliantika #Bakso #GenkPejuangDapur #GenkPeDa_Eksis #CookmemberPeDa5_Tika #KopiJos #KopiJos_April2026 #CookpadCommunity_Yogyakarta...","7 butir Bakso Ikan , iris | 1 buah Kembang Kol , ambil kuntumnya | 3 siung Bawang Merah , iris | 2 siung Bawang Putih , iris | 1 buah Cabe Keriting Merah, iris serong | 100 ml Air | 3 sdm Minyak Goreng , untuk menumis | Seasoning: | 2 sdm Saus Tiram | 3/4 sdt Garam | 1/2 sdt Kaldu Jamur | 1/2 sdt Lada",12,"Panaskan minyak goreng lalu tumis bawang merah, bawang putih hingga harum. || Tambahkan bakso, air, dan semua seasoning, aduk rata. Masukkan kembang kol. Aduk rata dan masak hingga sayur matang. Tes rasa. || Terakhir, masukkan cabe. Aduk rata, masak sebentar saja lalu angkat. || Tumis Kembang Kol Bakso siap disajikan.",4,20 menit,3 porsi,Nay's Kitchen,Yogyakarta,https://cookpad.com/id/resep/25654197
392,Bakso Rambutan,bakso,Bakso Rambutan adalah masakan terakhir yg emak masak utk saya saat acara lamaran saya dulu. Sekitar satu tahun kemudian emak sakit dan tidak bisa beraktifitas seperti biasa lagi. Emak adalah sosok yg tangguh krn berjuang sendiri bertahun² utk menghidupi anak²nya krn Engkong...,"300 gr ayam fillet | 2 btr putih telur | 1/2 sdt garam | 1/2 sdt kaldu jamur | 1/8 sdt merica bubuk | 1 buah wortel , ukuran sedang-kecil | 2 lmbr jamur kuping | 1 genggam soun | Bahan Cemplung : | 2 btg daun bawang | 2 btg seledri | Bumbu Halus : | 7 siung bawang putih | 5 siung bawang merah | 20 gr ebi",15,"Siapkan semua bahan-bahan yg dibutuhkan. Iris tipis bawang putih dan bawang merah, lalu goreng duo bawang dan ebi secara bergantian. || Haluskan bawang putih goreng, bawang merah goreng dan ebi goreng, saya uleg manual. || Rendam bihun dengan air panas, setelah lentur, angkat dan tiriskan airnya. Potong-potong wortel dan jamur kuping bentuk kotak kecil, potong-potong bihun. || Potong-potong ayam fillet, lalu chopper hingga halus. Masukkan kecap ikan, minyak wijen, garam, kaldu jamur, merica bubuk dan bumbu halus. || Tuang putih telur lalu chopper hingga tercampur rata. Pindahkan adonan ayam kedalam wadah lain, masukkan wortel, jamur kuping dan bihun, aduk rata. || Didihkan air, masukkan gulungan daun bawang dan seledri. Bentuk bakso rambutan lalu masukkan kedalam panci. || Rebus hingga baksonya mengapung. Angkat dan tiriskan airnya, dinginkan lalu bisa dipacking perporsi penyajian. Simpan didalam wadah thinwall atau plastik lalu simpan di freezer.",7,1 jam,,Noni Sukmawati,Wangon ↔ Yogyakarta,https://cookpad.com/id/resep/25672440
393,Sop Bakso Rambutan,bakso,"Setelah buat bakso rambutan, lanjut buat kuahnya dan jadilah sop rambutan favorit ku dan anak-anak. Dulu saat saya masih kecil emak yg suka buat sop rambutan, kini setelah emak tiada mamah lah yg suka membuatnya utk kami. Kalau makan dengan sop rambutan rasanya ingin...","1 resep bakso rambutan Bakso Rambutan | 1 bonggol kembang kol , ukuran sedang | 2 buah wortel | 2 lembar jamur kuping | 1 btg daun bawang | 1 btg seledri | 1/4 sdt garam | 1/2 sdt kaldu jamur | 1/4 sdt gula pasir | 1/8 sdt merica bubuk | 1 1/2 sdm bumbu halus (ada di resep bakso rambutan ) | 1 sdm kecap ikan | 2 liter air (air rebusan bakso + air)",13,"Siapkan semua bahan-bahan yg dibutuhkan. || Didihkan air, rebus wortel hingga 1/2 matang, angkat tiriskan airnya. Masukkan kembang kol dipanci yg sebelumnya digunakan utk merebus wortel, rebus hingga 1/2 matang, angkat dan tiriskan airnya. || Rebus kembali air rebusan bakso, beri kecap ikan, bumbu halus, garam, kaldu jamur, gula pasir dan merica bubuk. || Masukkan wortel, jamur kuping, dan kembang kol kedalam panci rebusan kuah. || Lalu masukkan juga bakso rambutan. Lakukan koreksi rasa, bila sudah pas dan semua sayur matang, masukkan daun bawang dan seledri. Aduk rata, masak sesaat lalu matikan api.",5,30 menit,6 porsi,Noni Sukmawati,Wangon ↔ Yogyakarta,https://cookpad.com/id/resep/25688335
394,Kuah Bakso,bakso,[Approved] endulitaa,"2 bungkus bakso | 3 liter air +- | 1 buah pala | 1 SDM pala bubuk | 3-4 sdt garam | 2 bungkus penyedap rasa yang kecil | Secukupnya Tulangan sapi , boleh iga, daging sapi atau sum sumnya | Bahan A | 15 siung bawang putih | 15 siung bawang merah | Bahan B | 6 batang daun bawang | Bahan C | 20 siung bawang putih",14,"Masak air sampai mendidih kemudian masukkan tulangan sapi, lalu cuekin aja, sampai terus menyala apinya yaa || Rajang bahan A, lalu goreng hingga kecoklatan kemudian tiriskan || Goreng bahan B kemudian tiriskan || Blender/haluskan bahan A dan B yang sudah di goreng tadi || Kemudian masukkan pala, dan lada, lalu haluskan kembali || Kemudian jika semua bahan sudah halus, masukkan bahan C lalu haluskan kembali || Masukkan bumbu yang sudah dihaluskan tadi kedalam panci yang sudah dicuekin dari tadi, aduk aduk sambil terus dimasak || Kemudian baru masukkan baksonya, tambahkan garam, dan kaldu/penyedap aduk aduk dan masak sampai bakso nya matang",8,,,Intan Rinjani,,https://cookpad.com/id/resep/25693898
395,Sup Bakso Udang,bakso,"Pas lagi sakit, menu ini adalah obat paling mujarab: Sup Bakso Udang ala Ibu. Dulu, Ibu selalu membuatkan ini kalo anak-anaknya tidak selera makan karena sakit. Resep ini akan terus tersimpan di sini, supaya cucu-cucunya nanti tetap bisa merasakan kasih sayang Uti melalui...",2 buah wortel | 50 gr buncis | 1 buah kembang kol | 1 buah sawi putih ukuran kecil | 1 batang daun bawang | 1 batang seledri | Bumbu sup | 3 siung bawang putih | 1/2 sdt lada bubuk | 1 SDM garam | 1/2 sdt gula | 1/2 sdt penyedap rasa | Bahan bakso udang | 250 gr udang | 1 butir telur | 100 gr tepung tapioka | 1/2 sdt garam | 2 siung bawang putih | 1/2 sdt lada,19,"Cuci bersih sayur lalu potong wortel seperti bentuk bunga.potong buncis kurang lebih 2cm. Belah 2 sawi putih lalu potong kotak. || Potong kembang kol kecil-kecil lalu rendam dalam air garam || Didihkan air masukkan bawang putih yang sudah di geprek. Lalu masukkan wortel,buncis dan kembang kol || Sambil tunggu mendidih. Haluskan udang dan telur. Lalu tambahkan tepung, bawang putih dan merica yg sudah di haluskan. || Masukkan adonan bakso ke dalam sup menggunakan 2 sendok makan. Lalu masukkan sawi,bawang prai dan seledri. || Tambahkan gula,garam dan penyedap. Pas kan rasa dan sup siap di sajikan. Selamat mencoba!",6,45 menit,,Pawestri Septiasih,,https://cookpad.com/id/resep/25692778
396,Bakso Tahu,bakso,"Bakso tahu lengkap dengan sayur pokcoy yang hangat, menu sederhana tapi penuh gizi dan kasih sayang untuk keluarga 💚 Yuk terus semangat berkarya di dapur, karena dari dapur lahir masakan penuh cinta 🍲✨ #CookpadApron2026 #DapurPerempuanHebat #CookpadCommunityDepok",250 gr Dada ayam fillet | 3 buah Tahu kotak putih | 2 siung Bawang putih | 1/2 sdt Merica bubuk | 1 sdt Garam | 1 sdt Kaldu bubuk | 1 sdt saus tiram | 800 ml Air | Secukupnya tulang ayam dan daging sapi iris untuk kaldu (optional) | 1 batang Daun bawang | 1 ikat pokcoy,11,"Haluskan ayam dan tahu, campur dengan bawang putih, merica, garam, saus tiram dan kaldu bubuk. || Bentuk adonan bulat-bulat kecil. || Didihkan air, masukkan tulang ayam,dan sedikit daging sapi rebus sebentar. Kemudian matikan api. Bentuk adonan bulat-bulat, sambil langsung dimasukkan ke dalam kuah panas. || Ke dalam air rebusan bakso, tambahkan daun bawang, bawang goreng, kaldu bubuk. Koreksi rasa kuah. || Didihkan kuah kembali, masukkan pokcoy. || Sajikan bakso tahu dengan kuah hangat, dan sayuran.",6,30 menit,2 porsi,Nur C. Fitriana,,https://cookpad.com/id/resep/25672263
397,Ca Sawi Bakso,bakso,"#Semangcook_DapurPerempuanHebat #DapurPerempuanHebat #CookpadApron2026 #SemangcookHokyaHokye26 #CookpadCommunity_Semarang Resep ini terjadi karena butuh segera ada lauk dan semua suka. Almarhum mama yang mengajarkan, soalnya bahan pasti ada. Bakso pun selalu tersedia di...",2 bonggol Sawi sendok | 3 buah Bakso | 3 siung Bawang putih | 1/4 buah Bawang bombay | 1 sdm Saus Tiram | 1/4 sdt Garam | 1/2 sdt Kaldu bubuk | 1 sdt Gula pasir | Secukupnya Minyak goreng | 1/2 gelas kecil Air | 1 sdm Kecap manis,11,"Siapkan bahan terlebih dahulu, cuci bersih sawi dan potong bakso, bawang putih serta bawang bombay. || Panaskan minyak, tumis bertahap bawang putih lalu bakso terakhir bawang bombay. Tumis hingga harum. || Masukkan bumbu bumbu, aduk rata. || Masukkan sawi, air dan kecap manis. Aduk rata kemudian tutup masak hingga sawi matang. || Buka tutup, cek rasa lalu angkat dan sajikan.",5,15 menit,,Cecilia Priska,Ambarawa,https://cookpad.com/id/resep/25691463
398,Bakso Kuah Bening,bakso,"Ini resep seserhana yang lahir dari perempuan yang luar biasa. Sejak kecil, kalau aku sakit, Ibu selalu buatkan comfort food yang hangat dan light, salah satunya bakso kuah bening. Tidak terlalu spesial, bukan? Tetapi kehadiran, perhatian, dan kasih sayang ibu, itu yang...","2 bungkus bakso | 2 bungkus sohun | 1,5 liter air | 1 siung baput | 1 batang daun bawang | Sedikit bamer dan baput goreng | Secukupnya kaldu bubuk dan garam",7,"Siapkan bahan, kemudian cuci bakso, baput, dan daun bawang || Kerat bakso || Didihkan 1,5 liter air || Geprek baput dan iris daun bawang || Masukkan bakso, baput, daun bawang, bamer baput goreng, kaldu, dan garam || Di panci lain, rebus sohun sampai matang, dan tiriskan || Setelah bakso mengapung, tes rasa, dan siap disajikan",7,30 menit,3 porsi,Ais,,https://cookpad.com/id/resep/25691180
399,Mie Goreng Kucai Bakso,bakso,.,4 keping mie menjangan | 8 butir bakso | 1 ons tauge | secukupnya Kucai | Kecap manis | Saus merah bantal | Sajiku bumbu nasi goreng pedas | Telur (saya gak pakai) | Merica bubuk | secukupnya Garam | secukupnya penyedap | Bumbu halus: | 5 siung b.merah | 5 siung b.putih | 6 cabe rawit,15,"Ulek bumbu halus || Potong"" bakso & kucai || Rebus mie sampai matang kemudian bilas dgn air dingin untuk menghentikan proses memasak || Tumis bumbu halus kemudian masukan bakso, tumis sebentar. Masukan mie, beri seasoning. Aduk"" sampai merata. Masukan tauge & kucai. Masak sampai layu, kemudian tes rasa",4,,,Dapur Bunda,,https://cookpad.com/id/resep/25682307
